Objective,51612.227381792676
unit,x,y,l,d
absorber_T1,12.5,18.078,25.0,15.499999999999986
wash_water_pump_T1_1,12.5,6.464,1.728,1.728
wash_water_pump_T1_2,8.772,6.464,1.728,1.728
wash_water_cooler_T1,8.772,1.3,14.800000000000004,2.6
rich_pump_T1_1,17.8875,6.464,5.047000000000001,1.3089999999999975
rich_pump_T1_2,23.0655,4.8045,1.3089999999999993,5.047
absorber_T2,38.25,33.5,15.5,25.0
wash_water_pump_T2_1,26.636,33.5,1.728,1.728
wash_water_pump_T2_2,26.636,37.228000000000065,1.728,1.728
wash_water_cooler_T2,21.472,37.228000000000065,2.6,14.800000000000002
rich_pump_T2_1,38.25,17.345499999999987,5.047,1.3090000000000002
rich_pump_T2_2,38.25,14.036500000000018,5.047,1.3090000000000002
